Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
V8N1M0,58,,Homeobox protein Nkx-2.1,Ophiophagus hannah (King cobra) (Naja hannah),8665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A7RRR7,58,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2B4RXD6,58,,Homeobox protein Nkx-2.4,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C4QRY1,58,8342324,"Homeobox protein nk-2,putative",Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4E0R537,58,,Homeobox protein Nkx-2.4,Fasciola hepatica (Liver fluke),6192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4S2LYK5,58,,Homeobox domain-containing protein,Opisthorchis felineus,147828,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
B3RKR5,57,6749044,Homeobox domain-containing protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R3WBZ9,57,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R3VZH2,57,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UVF3,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1JTE7,58,,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1JTE6,58,107369411,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0V5F7,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EKA5,58,20197005,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EEV8,58,20195110,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A226ENV6,58,,Homeobox protein Nkx-2.2a,Folsomia candida (Springtail),158441,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0N4XAA7,58,,Homeobox domain-containing protein,Haemonchus placei (Barber's pole worm),6290,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7REL8,58,,Homeobox Nkx,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D1UWE1,59,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9M516,58,100570399,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4U5MLT5,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EKA4,58,20197004,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
B4R0Z9,58,,GD19422,Drosophila simulans (Fruit fly),7240,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cardiac muscle cell differentiation, cardioblast differentiation, determination of digestive tract left/right asymmetry, embryonic anterior midgut (ectodermal) morphogenesis, embryonic heart tube development, germ cell migration, gonadal mesoderm development, lymph gland development, neuroendocrine cell differentiation, pericardial nephrocyte differentiation, positive regulation of transcription by RNA polymerase II, salivary gland morphogenesis",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A077Z816,58,,Homeobox domain containing protein,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0V0Y5X5,58,,Homeobox protein Nkx-2.6,Trichinella pseudospiralis (Parasitic roundworm),6337,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E9G181,58,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
V4C5P1,58,20251595,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6J8EZ06,58,,NKX3-2,Mytilus coruscus (Sea mussel),42192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0L8GWD8,58,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P8Z9U6,58,,Homeobox protein Nkx-3.2,Blattella germanica (German cockroach) (Blatta germanica),6973,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
D6WZY4,58,663892,Transcription factor LBX2-like Protein,Tribolium castaneum (Red flour beetle),7070,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A423SBC8,58,,NK3 homeobox 2-like,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7T3C0,58,,Homeobox Nkx,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A158NGA4,58,105619652,Homeobox domain-containing protein,Atta cephalotes (Leafcutter ant),12957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1K3E2,58,107359941,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1GRL2,58,,Homeobox domain-containing protein,Megaselia scalaris (Humpbacked fly) (Phora scalaris),36166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EKB3,58,20197013,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D1UTG2,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2P4S3Q5,58,,Homeobox domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
V8P096,58,,Homeobox protein Nkx-3.1,Ophiophagus hannah (King cobra) (Naja hannah),8665,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A662YN92,58,,Homeobox protein Nkx-3.1,Acipenser ruthenus (Sterlet sturgeon),7906,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6NGH9,58,,NK3 homeobox 1,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3Q0KN91,58,,Neural gene activation protein,Schistosoma mansoni (Blood fluke),6183,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2H1CT86,52,,Homeobox domain protein,Fasciola hepatica (Liver fluke),6192,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1Y3BUV9,48,,Homeobox domain-containing protein,Euroglyphus maynei (Mayne's house dust mite),6958,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1V9XFH3,58,,Homeobox protein Nkx-2.6-like,Tropilaelaps mercedesae,418985,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6UL80,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1X7VJU1,58,,Homeobox domain-containing protein,Amphimedon queenslandica (Sponge),400682,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0R3W441,58,,Homeobox domain-containing protein,Taenia asiatica (Asian tapeworm),60517,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H2L2F8,58,185853,Homeobox domain-containing protein,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183A983,49,,Homeobox domain-containing protein,Echinostoma caproni,27848,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183SB28,46,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1V9XYX9,46,,Homeobox protein Nkx-2.2-like,Tropilaelaps mercedesae,418985,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183IDN3,44,,Homeobox domain-containing protein,Soboliphyme baturini,241478,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2A2LJA7,44,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EK99,58,20196999,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183AGR6,51,,Homeobox domain-containing protein,Echinostoma caproni,27848,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7SB41,58,,Homeobox Nkx--like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A177AWY5,58,,Homeobox domain-containing protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EIX1,58,20196521,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4V6A082,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UQ45,58,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A553PTX4,57,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E4WRF0,56,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
W4YPV9,57,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
B3RKR7,57,6749046,Homeobox domain-containing protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A183IIM5,57,,Homeobox domain-containing protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D1VDX7,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4C1VNN8,58,,Protein zerknuellt 1,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H9JAD9,58,,Homeobox domain-containing protein,Bombyx mori (Silk moth),7091,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
H9JA52,58,101741023,Homeobox domain-containing protein,Bombyx mori (Silk moth),7091,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4C1VMB4,58,,Protein zerknuellt,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3Y0P5,58,,Amphioxus-specific nk homeobox,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
F6XKF8,56,778698,Uncharacterized protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1EIK2,58,20196402,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A1D2MT56,58,,Homeobox protein ceh-5,Orchesella cincta (Springtail),48709,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3P6NPH4,58,,Uncharacterized protein,Gongylonema pulchrum,637853,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A401P0X8,58,,Homeobox domain-containing protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1G615,58,20216512,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C2N0Z2,56,,Homeobox protein Hox-B13a,Thelohanellus kitauei (Myxosporean),669202,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A3FPJ2,57,6418830,Homeobox domain-containing protein,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
D2A679,57,103313403,Segmentation protein fushi tarazu-like Protein,Tribolium castaneum (Red flour beetle),7070,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A139WCE0,57,,Protein gooseberry-neuro-like Protein,Tribolium castaneum (Red flour beetle),7070,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","Developmental protein, DNA-binding","central nervous system development, neuron differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0C2IVN7,58,,Homeobox protein Nkx-6.1,Thelohanellus kitauei (Myxosporean),669202,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
W4Y7U1,58,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A090LI20,57,,Homeobox protein Nkx-3.1,Strongyloides ratti (Parasitic roundworm),34506,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4V6I882,57,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0M3JVJ2,66,,Homeobox protein Nkx-3.1 (inferred by orthology to a human protein),Anisakis simplex (Herring worm),6269,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6G0UJE5,44,,Homeobox domain-containing protein,Halicephalobus sp. NKZ332,2598192,DNA binding,DNA-binding,nan,nan,"Nucleus, Other locations",nan,nan,nan,Reference proteome,nan
A7RY67,57,,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",DNA-binding,"cell differentiation, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9UK95,58,,Homeobox domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G9QLI1,56,,Homeobox domain-containing protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
E9G0R7,56,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q9W064,56,38254,Dbx,Drosophila melanogaster (Fruit fly),7227,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding","axon guidance, neuron fate commitment, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
J9KRE9,56,100568721,Homeobox domain-containing protein,Acyrthosiphon pisum (Pea aphid),7029,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A3M7QPP0,56,,Homeobox DBX1,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
Q91975,56,,Homeobox protein DBX2,Gallus gallus (Chicken),9031,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding","multicellular organism development, regulation of transcription by RNA polymerase II",nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A401Q4F4,56,,Homeobox domain-containing protein,Scyliorhinus torazame (Cloudy catshark),75743,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A444U457,56,,Homeobox protein DBX2,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
B3RJN6,56,6748945,Homeobox domain-containing protein,Trichoplax adhaerens (Trichoplax reptans),10228,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A0G2KJM4,56,,Homeobox domain-containing protein,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,regulation of transcription by RNA polymerase II,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A4Z2IFD7,56,,Homeobox protein DBX2,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,"Transcription, Transcription regulation",Nucleus,nan,nan,nan,Reference proteome,nan
A0A5B7HI61,45,,Homeobox protein DBX1-B,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A132A6E0,45,,Homeodomain protein 2,Sarcoptes scabiei (Itch mite) (Acarus scabiei),52283,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2J7PLY9,56,,Homeobox domain-containing protein,Cryptotermes secundus,105785,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
T1G1M3,57,20214971,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
S4S023,56,,Homeobox domain-containing protein,Petromyzon marinus (Sea lamprey),7757,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A6A4K3A7,56,,Homeobox domain-containing protein,Apolygus lucorum (Plant bug) (Lygocoris lucorum),248454,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific","Developmental protein, DNA-binding",multicellular organism development,nan,Nucleus,nan,nan,nan,Reference proteome,nan
C3YGX1,56,,H2.0-like homeobox,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, sequence-specific DNA binding",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
A0A2G8K9K8,56,,Putative H2.0-like homeobox protein,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
W4YGB7,56,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A2R2MPT5,56,,H2.0-like homeobox protein,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",DNA-binding,nan,nan,Nucleus,nan,nan,nan,Reference proteome,nan
